date,timestamp,month,n95,current_year_max,historical_min,init_peak
2024-01-01,2024-01-01T00:00:00.000000,1,,1623.96,,1623.96
2024-01-02,2024-01-02T00:00:00.000000,1,,2129.262,,2129.262
2024-01-03,2024-01-03T00:00:00.000000,1,,2299.431,,2299.431
2024-01-04,2024-01-04T00:00:00.000000,1,,2299.431,,2299.431
2024-01-05,2024-01-05T00:00:00.000000,1,,2299.431,,2299.431
2024-01-06,2024-01-06T00:00:00.000000,1,,2349.352,,2349.352
2024-01-07,2024-01-07T00:00:00.000000,1,,2349.352,,2349.352
2024-01-08,2024-01-08T00:00:00.000000,1,,2349.352,,2349.352
2024-01-09,2024-01-09T00:00:00.000000,1,,2353.483,,2353.483
2024-01-10,2024-01-10T00:00:00.000000,1,,2394.17,,2394.17
2024-01-11,2024-01-11T00:00:00.000000,1,,2394.17,,2394.17
2024-01-12,2024-01-12T00:00:00.000000,1,,2394.17,,2394.17
2024-01-13,2024-01-13T00:00:00.000000,1,,2394.17,,2394.17
2024-01-14,2024-01-14T00:00:00.000000,1,,2394.17,,2394.17
2024-01-15,2024-01-15T00:00:00.000000,1,,2394.17,,2394.17
2024-01-16,2024-01-16T00:00:00.000000,1,,2427.497,,2427.497
2024-01-17,2024-01-17T00:00:00.000000,1,,2483.889,,2483.889
2024-01-18,2024-01-18T00:00:00.000000,1,,2507.106,,2507.106
2024-01-19,2024-01-19T00:00:00.000000,1,,2507.106,,2507.106
2024-01-20,2024-01-20T00:00:00.000000,1,,2507.106,,2507.106
2024-01-21,2024-01-21T00:00:00.000000,1,,2507.106,,2507.106
2024-01-22,2024-01-22T00:00:00.000000,1,,2507.106,,2507.106
2024-01-23,2024-01-23T00:00:00.000000,1,,2507.106,,2507.106
2024-01-24,2024-01-24T00:00:00.000000,1,,2507.106,,2507.106
2024-01-25,2024-01-25T00:00:00.000000,1,,2507.106,,2507.106
2024-01-26,2024-01-26T00:00:00.000000,1,,2507.106,,2507.106
2024-01-27,2024-01-27T00:00:00.000000,1,,2507.106,,2507.106
2024-01-28,2024-01-28T00:00:00.000000,1,,2507.106,,2507.106
2024-01-29,2024-01-29T00:00:00.000000,1,,2507.106,,2507.106
2024-01-30,2024-01-30T00:00:00.000000,1,,2507.106,,2507.106
2024-01-31,2024-01-31T00:00:00.000000,1,,2507.106,,2507.106
2024-02-01,2024-02-01T00:00:00.000000,2,,1781.703,,1781.703
2024-02-02,2024-02-02T00:00:00.000000,2,,2276.398,,2276.398
2024-02-03,2024-02-03T00:00:00.000000,2,,2276.398,,2276.398
2024-02-04,2024-02-04T00:00:00.000000,2,,2276.398,,2276.398
2024-02-05,2024-02-05T00:00:00.000000,2,,2276.398,,2276.398
2024-02-06,2024-02-06T00:00:00.000000,2,,2276.398,,2276.398
2024-02-07,2024-02-07T00:00:00.000000,2,,2276.398,,2276.398
2024-02-08,2024-02-08T00:00:00.000000,2,,2276.398,,2276.398
2024-02-09,2024-02-09T00:00:00.000000,2,,2276.398,,2276.398
2024-02-10,2024-02-10T00:00:00.000000,2,,2276.398,,2276.398
2024-02-11,2024-02-11T00:00:00.000000,2,,2276.398,,2276.398
2024-02-12,2024-02-12T00:00:00.000000,2,,2276.398,,2276.398
2024-02-13,2024-02-13T00:00:00.000000,2,,2276.398,,2276.398
2024-02-14,2024-02-14T00:00:00.000000,2,,2276.398,,2276.398
2024-02-15,2024-02-15T00:00:00.000000,2,,2324.268,,2324.268
2024-02-16,2024-02-16T00:00:00.000000,2,,2324.268,,2324.268
2024-02-17,2024-02-17T00:00:00.000000,2,,2324.268,,2324.268
2024-02-18,2024-02-18T00:00:00.000000,2,,2324.268,,2324.268
2024-02-19,2024-02-19T00:00:00.000000,2,,2324.268,,2324.268
2024-02-20,2024-02-20T00:00:00.000000,2,,2324.268,,2324.268
2024-02-21,2024-02-21T00:00:00.000000,2,,2324.268,,2324.268
2024-02-22,2024-02-22T00:00:00.000000,2,,2324.268,,2324.268
2024-02-23,2024-02-23T00:00:00.000000,2,,2324.268,,2324.268
2024-02-24,2024-02-24T00:00:00.000000,2,,2324.268,,2324.268
2024-02-25,2024-02-25T00:00:00.000000,2,,2324.268,,2324.268
2024-02-26,2024-02-26T00:00:00.000000,2,,2324.268,,2324.268
2024-02-27,2024-02-27T00:00:00.000000,2,,2324.268,,2324.268
2024-02-28,2024-02-28T00:00:00.000000,2,,2324.268,,2324.268
2024-02-29,2024-02-29T00:00:00.000000,2,,2324.268,,2324.268
2024-03-01,2024-03-01T00:00:00.000000,3,,1868.625,,1868.625
2024-03-02,2024-03-02T00:00:00.000000,3,,2099.609,,2099.609
2024-03-03,2024-03-03T00:00:00.000000,3,,2099.609,,2099.609
2024-03-04,2024-03-04T00:00:00.000000,3,,2099.609,,2099.609
2024-03-05,2024-03-05T00:00:00.000000,3,,2099.609,,2099.609
2024-03-06,2024-03-06T00:00:00.000000,3,,2099.609,,2099.609
2024-03-07,2024-03-07T00:00:00.000000,3,,2099.609,,2099.609
2024-03-08,2024-03-08T00:00:00.000000,3,,2099.609,,2099.609
2024-03-09,2024-03-09T00:00:00.000000,3,,2099.609,,2099.609
2024-03-10,2024-03-10T00:00:00.000000,3,,2099.609,,2099.609
2024-03-11,2024-03-11T00:00:00.000000,3,,2099.609,,2099.609
2024-03-12,2024-03-12T00:00:00.000000,3,,2105.538,,2105.538
2024-03-13,2024-03-13T00:00:00.000000,3,,2105.538,,2105.538
2024-03-14,2024-03-14T00:00:00.000000,3,,2105.538,,2105.538
2024-03-15,2024-03-15T00:00:00.000000,3,,2105.538,,2105.538
2024-03-16,2024-03-16T00:00:00.000000,3,,2105.538,,2105.538
2024-03-17,2024-03-17T00:00:00.000000,3,,2105.538,,2105.538
2024-03-18,2024-03-18T00:00:00.000000,3,,2105.538,,2105.538
2024-03-19,2024-03-19T00:00:00.000000,3,,2105.538,,2105.538
2024-03-20,2024-03-20T00:00:00.000000,3,,2105.538,,2105.538
2024-03-21,2024-03-21T00:00:00.000000,3,,2105.538,,2105.538
2024-03-22,2024-03-22T00:00:00.000000,3,,2151.871,,2151.871
2024-03-23,2024-03-23T00:00:00.000000,3,,2151.871,,2151.871
2024-03-24,2024-03-24T00:00:00.000000,3,,2151.871,,2151.871
2024-03-25,2024-03-25T00:00:00.000000,3,,2151.871,,2151.871
2024-03-26,2024-03-26T00:00:00.000000,3,,2151.871,,2151.871
2024-03-27,2024-03-27T00:00:00.000000,3,,2151.871,,2151.871
2024-03-28,2024-03-28T00:00:00.000000,3,,2151.871,,2151.871
2024-03-29,2024-03-29T00:00:00.000000,3,,2151.871,,2151.871
2024-03-30,2024-03-30T00:00:00.000000,3,,2151.871,,2151.871
2024-03-31,2024-03-31T00:00:00.000000,3,,2151.871,,2151.871
2024-04-01,2024-04-01T00:00:00.000000,4,,1418.618,,1418.618
2024-04-02,2024-04-02T00:00:00.000000,4,,1911.657,,1911.657
2024-04-03,2024-04-03T00:00:00.000000,4,,1972.512,,1972.512
2024-04-04,2024-04-04T00:00:00.000000,4,,2142.9,,2142.9
2024-04-05,2024-04-05T00:00:00.000000,4,,2179.877,,2179.877
2024-04-06,2024-04-06T00:00:00.000000,4,,2179.877,,2179.877
2024-04-07,2024-04-07T00:00:00.000000,4,,2179.877,,2179.877
2024-04-08,2024-04-08T00:00:00.000000,4,,2179.877,,2179.877
2024-04-09,2024-04-09T00:00:00.000000,4,,2179.877,,2179.877
2024-04-10,2024-04-10T00:00:00.000000,4,,2179.877,,2179.877
2024-04-11,2024-04-11T00:00:00.000000,4,,2179.877,,2179.877
2024-04-12,2024-04-12T00:00:00.000000,4,,2179.877,,2179.877
2024-04-13,2024-04-13T00:00:00.000000,4,,2179.877,,2179.877
2024-04-14,2024-04-14T00:00:00.000000,4,,2179.877,,2179.877
2024-04-15,2024-04-15T00:00:00.000000,4,,2179.877,,2179.877
2024-04-16,2024-04-16T00:00:00.000000,4,,2179.877,,2179.877
2024-04-17,2024-04-17T00:00:00.000000,4,,2179.877,,2179.877
2024-04-18,2024-04-18T00:00:00.000000,4,,2179.877,,2179.877
2024-04-19,2024-04-19T00:00:00.000000,4,,2179.877,,2179.877
2024-04-20,2024-04-20T00:00:00.000000,4,,2179.877,,2179.877
2024-04-21,2024-04-21T00:00:00.000000,4,,2179.877,,2179.877
2024-04-22,2024-04-22T00:00:00.000000,4,,2179.877,,2179.877
2024-04-23,2024-04-23T00:00:00.000000,4,,2179.877,,2179.877
2024-04-24,2024-04-24T00:00:00.000000,4,,2179.877,,2179.877
2024-04-25,2024-04-25T00:00:00.000000,4,,2179.877,,2179.877
2024-04-26,2024-04-26T00:00:00.000000,4,,2179.877,,2179.877
2024-04-27,2024-04-27T00:00:00.000000,4,,2179.877,,2179.877
2024-04-28,2024-04-28T00:00:00.000000,4,,2179.877,,2179.877
2024-04-29,2024-04-29T00:00:00.000000,4,,2179.877,,2179.877
2024-04-30,2024-04-30T00:00:00.000000,4,,2179.877,,2179.877
2024-05-01,2024-05-01T00:00:00.000000,5,,1427.589,,1427.589
2024-05-02,2024-05-02T00:00:00.000000,5,,1809.06,,1809.06
2024-05-03,2024-05-03T00:00:00.000000,5,,1809.06,,1809.06
2024-05-04,2024-05-04T00:00:00.000000,5,,1809.06,,1809.06
2024-05-05,2024-05-05T00:00:00.000000,5,,1809.06,,1809.06
2024-05-06,2024-05-06T00:00:00.000000,5,,1809.06,,1809.06
2024-05-07,2024-05-07T00:00:00.000000,5,,1831.983,,1831.983
2024-05-08,2024-05-08T00:00:00.000000,5,,1855.385,,1855.385
2024-05-09,2024-05-09T00:00:00.000000,5,,1855.385,,1855.385
2024-05-10,2024-05-10T00:00:00.000000,5,,1855.385,,1855.385
2024-05-11,2024-05-11T00:00:00.000000,5,,1855.385,,1855.385
2024-05-12,2024-05-12T00:00:00.000000,5,,1855.385,,1855.385
2024-05-13,2024-05-13T00:00:00.000000,5,,1855.385,,1855.385
2024-05-14,2024-05-14T00:00:00.000000,5,,1855.385,,1855.385
2024-05-15,2024-05-15T00:00:00.000000,5,,1885.187,,1885.187
2024-05-16,2024-05-16T00:00:00.000000,5,,1885.187,,1885.187
2024-05-17,2024-05-17T00:00:00.000000,5,,1885.187,,1885.187
2024-05-18,2024-05-18T00:00:00.000000,5,,1885.187,,1885.187
2024-05-19,2024-05-19T00:00:00.000000,5,,1885.187,,1885.187
2024-05-20,2024-05-20T00:00:00.000000,5,,1885.187,,1885.187
2024-05-21,2024-05-21T00:00:00.000000,5,,1909.608,,1909.608
2024-05-22,2024-05-22T00:00:00.000000,5,,2249.388,,2249.388
2024-05-23,2024-05-23T00:00:00.000000,5,,2482.884,,2482.884
2024-05-24,2024-05-24T00:00:00.000000,5,,2482.884,,2482.884
2024-05-25,2024-05-25T00:00:00.000000,5,,2482.884,,2482.884
2024-05-26,2024-05-26T00:00:00.000000,5,,2482.884,,2482.884
2024-05-27,2024-05-27T00:00:00.000000,5,,2482.884,,2482.884
2024-05-28,2024-05-28T00:00:00.000000,5,,2482.884,,2482.884
2024-05-29,2024-05-29T00:00:00.000000,5,,2482.884,,2482.884
2024-05-30,2024-05-30T00:00:00.000000,5,,2482.884,,2482.884
2024-05-31,2024-05-31T00:00:00.000000,5,,2482.884,,2482.884
2024-06-01,2024-06-01T00:00:00.000000,6,,1493.307,,1493.307
2024-06-02,2024-06-02T00:00:00.000000,6,,1881.29,,1881.29
2024-06-03,2024-06-03T00:00:00.000000,6,,2064.301,,2064.301
2024-06-04,2024-06-04T00:00:00.000000,6,,2356.48,,2356.48
2024-06-05,2024-06-05T00:00:00.000000,6,,2356.48,,2356.48
2024-06-06,2024-06-06T00:00:00.000000,6,,2410.218,,2410.218
2024-06-07,2024-06-07T00:00:00.000000,6,,2410.218,,2410.218
2024-06-08,2024-06-08T00:00:00.000000,6,,2410.218,,2410.218
2024-06-09,2024-06-09T00:00:00.000000,6,,2410.218,,2410.218
2024-06-10,2024-06-10T00:00:00.000000,6,,2410.218,,2410.218
2024-06-11,2024-06-11T00:00:00.000000,6,,2410.218,,2410.218
2024-06-12,2024-06-12T00:00:00.000000,6,,2410.218,,2410.218
2024-06-13,2024-06-13T00:00:00.000000,6,,2410.218,,2410.218
2024-06-14,2024-06-14T00:00:00.000000,6,,2410.218,,2410.218
2024-06-15,2024-06-15T00:00:00.000000,6,,2410.218,,2410.218
